Complexity,Loss,Equation
1,0.04424452,"Pi_1"
3,0.009727331,"Pi_1 * Pi_1"
5,0.0048397407,"Pi_1 * (Pi_1 - -0.10029142)"
6,0.0007160525,"(Pi_1 * 1.3824508) * sin(Pi_1)"
8,5.4632274e-5,"inv(exp(inv(Pi_1) - 0.69395137) + -0.49882045)"
10,5.463097e-5,"inv(exp(inv(Pi_1 + -7.2350726e-5) - 0.69417006) + -0.49861926)"
12,5.4608005e-5,"inv((exp(inv(Pi_1) - 0.6953397) + -0.495626) + (Pi_1 * -0.0012531645))"
13,5.426508e-5,"inv((exp(inv(Pi_1) - 0.6778715) + -0.48024395) + (-0.034391176 / sin(Pi_1)))"
15,5.1629642e-5,"(-0.00017061835 / (exp(Pi_1) - 3.3709168)) + inv(exp(inv(Pi_1) - 0.6939587) + -0.49889287)"
18,5.1298004e-5,"inv(exp(inv(Pi_1) - 0.6940663) + ((0.00013648129 / sin(exp(8.570098 + (1.7067192 * Pi_1)))) + -0.49869785))"
19,5.1297422e-5,"inv(exp(inv(Pi_1) - 0.6940663) + (sin(0.00013648129 / sin(exp(8.570098 + (1.7067192 * Pi_1)))) + -0.49869785))"
20,5.1296473e-5,"inv(exp(inv(Pi_1) - 0.6940663) + ((0.00013648129 / sin(exp((Pi_1 * 1.7067192) + 8.570098))) + -0.49869785)) + -4.4293036e-5"
21,5.01009e-5,"inv((exp(inv(Pi_1) - 0.6941014) + -0.4987929) - (-0.00018423126 / sin(((exp(Pi_1) + sin(Pi_1)) - 1.7178253) / 0.41237772)))"
22,5.0087016e-5,"inv((exp(inv(Pi_1) - 0.6941014) - (-0.00018424398 / sin(sin(((sin(Pi_1) + exp(Pi_1)) - 1.7178252) / 0.4123779)))) + -0.49879292)"
23,5.007665e-5,"inv((exp(inv(Pi_1) - 0.6941014) + -0.49879292) - (-0.00018424398 / sin(sin(sin(((sin(Pi_1) + exp(Pi_1)) - 1.7178252) / 0.4123779)))))"
24,5.0002014e-5,"inv((exp(inv(Pi_1) - 0.6940927) + -0.49877873) - (-0.00020405251 / (sin(((exp(Pi_1) + sin(Pi_1)) - 1.7178547) / 0.41234922) / sin(Pi_1))))"
25,4.842707e-5,"inv(exp(inv(Pi_1) - 0.6940663) + ((0.00013648129 / sin(exp(8.570098 + (1.7067192 * Pi_1)))) + -0.49869785)) + (-0.00022070376 / (exp(Pi_1) + -3.369162))"
