Complexity,Loss,Equation
1,0.04424452,"Pi_1"
3,0.009727331,"Pi_1 * Pi_1"
5,0.0048397416,"(Pi_1 - -0.100304164) * Pi_1"
6,0.0007160525,"(Pi_1 * sin(Pi_1)) * 1.3824556"
8,0.000320579,"(Pi_1 * (1.4183245 * sin(Pi_1))) - 0.028424827"
9,0.00018105523,"sin(sin(Pi_1)) * (-0.23758943 - (Pi_1 * -1.8099846))"
10,0.00015248967,"((Pi_1 * 2.0641553) + exp(Pi_1 * -2.7418635)) + -0.9724888"
11,7.2989045e-5,"(Pi_1 * 1.9432211) + sin(exp(Pi_1 * -2.8922682) + -0.95076853)"
12,6.485096e-5,"(Pi_1 * 1.9068394) + (sin(sin(exp(Pi_1 * -4.4483175))) + -0.75236064)"
13,5.7291825e-5,"((Pi_1 * 1.895371) + sin(sin(exp(sin(Pi_1) * -4.4984875)))) + -0.7516696"
14,5.6959867e-5,"sin(exp(sin(Pi_1) * -4.268562) + 0.13567023) + ((Pi_1 * 1.905138) + -0.90215915)"
15,5.4446602e-5,"((Pi_1 + -0.3988802) * 1.8772743) + sin(sin(exp(sin(Pi_1 * 1.3173349) * -3.4291375)))"
17,5.4308555e-5,"((Pi_1 + -0.39767864) * 1.8740023) + sin(sin(exp(sin((Pi_1 * 1.3219846) + 0.0019708243) * -3.4308906)))"
18,5.3962227e-5,"Pi_1 * (((sin(sin(exp(0.080775626 - sin(log(Pi_1 + 0.0780493))))) * Pi_1) / 0.6243156) - 0.032908607)"
20,5.386345e-5,"((((Pi_1 - 0.0065264124) / 0.61518174) * sin(sin(exp(0.06880262 - sin(log(Pi_1 + 0.076297946)))))) - 0.036583964) * Pi_1"
24,5.3863434e-5,"((Pi_1 * Pi_1) / Pi_1) * ((sin(sin(exp(0.06880263 - sin(log(Pi_1 + 0.076297946))))) * ((Pi_1 - 0.0065263975) / 0.6151818)) - 0.036583953)"
25,5.1761348e-5,"exp((-1.780402e-5 / (Pi_1 + -1.2157494)) + sin(0.4343284 - log(Pi_1))) * ((0.77239776 - (log(Pi_1) * -0.35383654)) * ((Pi_1 * Pi_1) - 0.010255377))"
26,5.1761315e-5,"((Pi_1 * Pi_1) - 0.010255377) * ((0.77239776 - (log(Pi_1) * -0.35383654)) * exp(sin(-1.7805174e-5 / (Pi_1 + -1.2157494)) + sin(0.4343284 - log(Pi_1))))"
27,5.1655756e-5,"(exp(sin(0.43424556 - log(Pi_1))) * (((Pi_1 * Pi_1) + (-3.0058938e-5 / (Pi_1 - 1.215629))) - 0.01520993)) * ((0.35818455 * log(Pi_1 + 0.03009073)) + 0.7656382)"
28,5.1655705e-5,"(exp(sin(0.43424556 - log(Pi_1))) * ((Pi_1 * Pi_1) + sin((-3.0058938e-5 / (Pi_1 - 1.215629)) - 0.015210517))) * ((log(Pi_1 + 0.03009073) * 0.35818455) + 0.7656382)"
29,5.164483e-5,"((0.76567966 - (log(Pi_1 + 0.030090744) * -0.35812095)) * ((((-2.8771983e-5 / (Pi_1 - 1.2156677)) + (Pi_1 * Pi_1)) - 0.015172167) * exp(sin(0.4342709 - log(Pi_1))))) + -0.00013137585"
30,5.1644744e-5,"(((0.76567966 - (log(Pi_1 + 0.03009073) * -0.35812095)) * exp(sin(0.4342709 - log(Pi_1)))) * ((-2.8761637e-5 / sin(Pi_1 - 1.2156676)) + ((Pi_1 * Pi_1) - 0.015172194))) + -0.0001313088"
