Complexity,Loss,Equation
1,0.04424452,"Pi_1"
3,0.009727331,"Pi_1 * Pi_1"
5,0.0048397416,"Pi_1 * (Pi_1 - -0.10031084)"
6,0.0007160525,"Pi_1 * (sin(Pi_1) * 1.3824409)"
8,0.000320579,"-0.02842435 - (Pi_1 * (sin(Pi_1) * -1.4183216))"
9,0.00018105525,"((0.1312674 - Pi_1) * sin(sin(Pi_1))) * -1.809982"
10,0.00015715361,"((0.1681289 - Pi_1) * -2.0850408) * sin(sin(sin(Pi_1)))"
11,0.00011759811,"((log(Pi_1) * sin(Pi_1)) + (Pi_1 / 0.9542906)) + 0.11991326"
12,0.00011586182,"log(Pi_1 + 0.8245894) * (sin(sin(Pi_1) * 1.426039) + Pi_1)"
13,8.665496e-5,"((Pi_1 * 0.4029132) + sin(sin(Pi_1) * 1.737103)) * (Pi_1 + -0.16717286)"
14,6.732985e-5,"log(Pi_1 + 0.83277965) * (Pi_1 + sin((sin(Pi_1) + -0.0823198) * 1.5624334))"
15,6.066116e-5,"log(Pi_1 + 0.8386934) * (Pi_1 + sin(sin(sin(Pi_1 - 0.114950255)) * 1.6493142))"
16,5.8691145e-5,"(sin(sin(sin(Pi_1 - 0.18587784) * 1.7872143)) + (Pi_1 * 0.4250343)) * (Pi_1 + -0.06483368)"
17,5.853691e-5,"((Pi_1 * 0.32633337) + sin(sin(sin(sin(Pi_1 - 0.17355919))) * 1.8884664)) * (Pi_1 + -0.06654018)"
18,5.6730492e-5,"log(Pi_1 + 0.90264297) * (Pi_1 + (Pi_1 / (Pi_1 + (-0.29859027 / ((Pi_1 + -0.23147464) / -0.6144679)))))"
20,5.5376568e-5,"log(Pi_1 + 0.87642634) * (Pi_1 + (Pi_1 / ((-0.80978197 / ((Pi_1 / -0.2023287) + sin(exp(Pi_1)))) + Pi_1)))"
21,5.5264933e-5,"((Pi_1 / (Pi_1 + (-0.6641802 / ((Pi_1 / -0.2417585) + sin(sin(exp(Pi_1))))))) + Pi_1) * log(Pi_1 + 0.8755176)"
22,5.5218952e-5,"log(Pi_1 + 0.86858094) * ((Pi_1 / (Pi_1 + (-0.5399841 / (sin(exp(Pi_1) + -0.37413788) + (Pi_1 / -0.2476508))))) + Pi_1)"
23,5.4672924e-5,"log(Pi_1 + 0.8826616) * ((Pi_1 / (Pi_1 + (-0.646642 / (sin(exp(sin(Pi_1 * Pi_1))) + (Pi_1 / -0.24042673))))) + Pi_1)"
24,5.4626016e-5,"log(Pi_1 + 0.8891299) * (Pi_1 + (Pi_1 / (Pi_1 + (-0.6485877 / (sin(exp(sin(sin(Pi_1 * Pi_1)))) + (Pi_1 / -0.24786723))))))"
25,5.4330558e-5,"log(Pi_1 + 0.8757686) * ((Pi_1 / (Pi_1 + (-0.651603 / (sin(exp(sin(Pi_1 * Pi_1))) + (Pi_1 / -0.23261225))))) + (Pi_1 / 0.994436))"
26,5.4232147e-5,"log(Pi_1 + 0.86364514) * ((Pi_1 / (Pi_1 + (-0.5359454 / ((Pi_1 / -0.24328907) + sin(((Pi_1 + sin(Pi_1)) * Pi_1) + 0.7672991))))) + Pi_1)"
28,5.4201235e-5,"(Pi_1 + (Pi_1 / ((-0.5372996 / ((Pi_1 / -0.24277817) + sin((Pi_1 * (sin(Pi_1 * Pi_1) + Pi_1)) + 0.8383175))) + Pi_1))) * log(Pi_1 + 0.8630758)"
29,5.405445e-5,"((Pi_1 / ((-0.5385759 / ((Pi_1 / -0.25452057) + sin(((Pi_1 + sin(Pi_1 * Pi_1)) * sin(Pi_1)) + 0.8394276))) + Pi_1)) + Pi_1) * log(Pi_1 + 0.8717638)"
30,5.404077e-5,"(Pi_1 + (Pi_1 / (Pi_1 + (-0.53714925 / (sin((Pi_1 * (sin(sin(Pi_1 * Pi_1)) + sin(Pi_1))) + 0.84029263) + (Pi_1 / -0.25233462)))))) * log(Pi_1 + 0.8699648)"
