Complexity,Loss,Equation
1,0.04248088,"Pi_1"
3,0.00992817,"Pi_1 * Pi_1"
5,0.0044705225,"Pi_1 * (Pi_1 + 0.106309585)"
6,0.00070369383,"sin(Pi_1) * (Pi_1 * 1.3828009)"
8,9.291375e-5,"Pi_1 * (exp(-0.606958 / Pi_1) * 2.126311)"
9,6.744028e-5,"(Pi_1 * 2.3406708) * sin(exp(-0.65383947 / Pi_1))"
10,6.218595e-5,"(exp(-0.87796795 / Pi_1) * 1.9865777) * (Pi_1 + 0.40960115)"
11,6.192368e-5,"sin(exp(-0.5018102 / Pi_1)) * ((-0.12895757 + Pi_1) * 2.3480675)"
12,6.1277424e-5,"((Pi_1 * 2.024629) + 0.37069926) * exp(-0.70293295 / (Pi_1 - 0.026966354))"
16,6.117363e-5,"(((Pi_1 + 0.39062113) - (0.15885097 / (-0.21369997 - Pi_1))) * inv(exp(inv(Pi_1)))) * 2.0774655"
17,6.117158e-5,"(inv(exp(inv(Pi_1))) * ((sin(-0.15568246 / (-0.19797464 - Pi_1)) + Pi_1) + 0.3923779)) * 2.0768194"
18,6.115625e-5,"(inv(exp(inv(Pi_1))) * ((Pi_1 + 0.36914447) - (0.20843004 / sin(-0.27977428 - sin(Pi_1))))) * 1.9746877"
19,6.1145685e-5,"(inv(exp(inv(Pi_1))) * 1.9730107) * ((Pi_1 + 0.36769193) - sin(0.21276884 / sin(-0.27762735 - sin(Pi_1))))"
20,6.1143546e-5,"((Pi_1 * 0.9562386) + (0.35813594 - (0.19704917 / sin(-0.2819266 - sin(Pi_1))))) * (2.0618932 * inv(exp(inv(Pi_1))))"
22,5.9443177e-5,"inv(exp(inv(Pi_1))) * (2.0844972 * ((0.3712654 + (Pi_1 - (0.18870443 / (-0.29441607 - Pi_1)))) - (0.00014427274 / (1.4665711 - Pi_1))))"
23,5.7972047e-5,"(Pi_1 + (0.37114492 - (0.18745154 / (sin((0.0014414039 / (Pi_1 - 1.1895752)) - 0.28989327) - Pi_1)))) * (inv(exp(inv(Pi_1))) * 2.0843904)"
25,5.7966718e-5,"(((Pi_1 + 0.37114492) - (0.18856706 / (sin((0.0014414039 / (Pi_1 - 1.1895752)) - 0.28989327) - (Pi_1 * 1.007849)))) * 2.0843904) * inv(exp(inv(Pi_1)))"
27,5.7957834e-5,"((Pi_1 - (0.1885671 / (sin((0.0014398228 / (Pi_1 - 1.1895751)) - 0.28989327) - (Pi_1 * 1.0108528)))) + 0.37114498) * ((inv(exp(inv(Pi_1))) * 2.084417) + 0.00014574762)"
28,5.710602e-5,"(inv(exp(inv(Pi_1))) * ((0.37095955 - (0.1882872 / (-0.29457843 - (Pi_1 - ((sin(exp(Pi_1 * 4.3982496)) / (1.470258 - Pi_1)) * -0.0046100565))))) + Pi_1)) * 2.0841763"
29,5.209992e-5,"(((Pi_1 + 0.3713654) - (0.18861537 / (-0.2945423 - (Pi_1 - ((sin(exp(exp(Pi_1) * 1.4810424)) * 0.0069275727) / (1.4698178 - Pi_1)))))) * inv(exp(inv(Pi_1)))) * 2.0837116"
30,5.19768e-5,"(inv(exp(inv(Pi_1))) * (0.3713654 + (Pi_1 - (0.18861537 / (-0.2945423 - (Pi_1 - (sin(exp(exp(Pi_1) * 1.4810424)) * sin(0.006927685 / (1.4705206 - Pi_1))))))))) * 2.0837116"
