Complexity,Loss,Equation
1,0.04248088,"Pi_1"
3,0.00992817,"Pi_1 * Pi_1"
5,0.0044705225,"Pi_1 * (Pi_1 - -0.1063277)"
6,0.00070369383,"(sin(Pi_1) * Pi_1) * 1.3827915"
8,9.2913724e-5,"Pi_1 * (exp(-0.6069786 / Pi_1) * 2.1263304)"
9,6.744031e-5,"sin(exp(-0.65380603 / Pi_1)) * (2.3405669 * Pi_1)"
10,6.218615e-5,"(exp(-0.87866485 / Pi_1) * (Pi_1 - -0.41124603)) * 1.9856923"
12,6.127609e-5,"(Pi_1 + 0.19023639) * (exp(-0.7077451 / (Pi_1 + -0.026716715)) * 2.022241)"
14,6.124952e-5,"exp((Pi_1 + -0.7976302) * (((0.040489025 / Pi_1) + 0.70622206) / Pi_1)) * Pi_1"
15,6.124943e-5,"Pi_1 * exp(inv(Pi_1) * (((0.04050994 / Pi_1) + 0.7062301) * (Pi_1 + -0.7976217)))"
16,6.122444e-5,"Pi_1 * exp((Pi_1 + -0.7976274) * ((((0.042574 / Pi_1) + 0.6995602) / Pi_1) + 0.0038585935))"
17,6.122184e-5,"exp((-0.7976241 + Pi_1) * (0.0038630741 + ((sin(0.042577334 / Pi_1) + 0.6995691) / Pi_1))) * Pi_1"
18,6.11489e-5,"exp(((Pi_1 * (sin(sin(sin(0.27350688 / Pi_1))) + 0.71897554)) + -0.8318533) * inv(Pi_1)) * Pi_1"
20,6.112885e-5,"exp((((sin(log(Pi_1)) / sin(Pi_1)) * -0.030938882) + 0.74571604) * ((Pi_1 + -0.79758656) * inv(Pi_1))) * Pi_1"
22,6.1115185e-5,"Pi_1 * exp(((Pi_1 + -0.79769546) * (((sin(Pi_1 - log(sin(Pi_1))) * 0.041740645) / Pi_1) + 0.70646477)) * inv(Pi_1))"
23,6.0981034e-5,"Pi_1 * exp(((((0.04094773 / Pi_1) + 0.707463) * (Pi_1 + -0.7974044)) * sin(sin(Pi_1 + 0.70746297) - -0.70560235)) * inv(Pi_1))"
24,6.0978524e-5,"exp((sin(0.040991705 / Pi_1) + 0.70748085) * ((inv(Pi_1) * (Pi_1 + -0.7974291)) * sin(sin(Pi_1 + 0.7074637) - -0.705602))) * Pi_1"
25,6.0958355e-5,"exp((((0.04116639 / Pi_1) + (sin(1.264623 - log(sin(sin(Pi_1 + 0.7612397)))) * 0.7075716)) * inv(Pi_1)) * (Pi_1 + -0.79758173)) * Pi_1"
26,6.0678354e-5,"exp((sin(sin((Pi_1 * Pi_1) - log(Pi_1)) - -0.63264495) * (((0.040767405 / Pi_1) + 0.7084615) * (Pi_1 + -0.79826695))) * inv(Pi_1)) * Pi_1"
27,6.0631977e-5,"Pi_1 * exp(((((-0.032951836 / Pi_1) * sin(log(Pi_1))) + ((inv(sin(Pi_1 + Pi_1)) * 0.00072461326) + 0.7424609)) * inv(Pi_1)) * (Pi_1 + -0.7975757))"
28,5.919077e-5,"exp((inv(sin(exp(Pi_1 + 0.6450083))) * 4.4201977e-5) + (((Pi_1 + -0.7974525) * ((sin(log(Pi_1)) * (-0.03350055 / Pi_1)) + 0.7410379)) * inv(Pi_1))) * Pi_1"
